fmt: 10.2.1
GeoIP-GeoLite-data: fail
gh: fail
GConf2: 1.8.3
gc: fail
gbenchmark: fail
gcc: 14.1.0
gavl: fail
gd: fail
gconf-editor: 3.0.1
gdbm: 1
gdisk: fail
gcr: fail
gdk-pixbuf2: 2.42.12
genwqe-tools: 22.9
geos: fail
gnome-icon-theme: 46.2
GeoIP: fail
gcovr: 7.2
generic-logos: fail
gdal: 3.9.0
glib-networking: 2.80.0
gettext: 4.8.12
glibmm: 2.80.0
gl-manpages: 9.2
geoclue2: 1.0.6
geolite2: fail
git: 2.45.2
gdb: 0.17.2
giflib: fail
gfs2-utils: fail
glm: fail
glslang: 14.2.0
glassfish-annotation-api: 2014.0.1.2.5.0
gnome-doc-utils: 1
gawk: 6.0.0
gnu-efi: fail
glew: 2.2.0
gnome-keyring: 0.13
glib: 2.35.post1
gmp: 1.4.1
glibc: 2.35.post1
gflags: 2.2.2
gnome-desktop-testing: 2021.1
glide: 4.16.0
git-lfs: 3.5.1
glusterfs: 3.5.0
gnome-menus: 3.36.0
gnome-common: 3.18.0
glog: 0.7.1
geronimo-specs: 2.2
golang-sys: fail
gnu-regexp: fail
go-rpm-macros: fail
gnutls: 3.8.5
gnulib: fail
gtk-vnc: fail
gnupg2: fail
go-md2man: 2.0.4
gobject-introspection: 1.80.1
gom: fail
gnu-getopt: 0.0.1
golang-crypto: 0.24.0
golang: 1.22.4
google-crosextra-carlito-fonts: 8.8
google-noto-cjk-fonts: 9.2
gpgme: 2.0.24
golang-packaging: 14.10
google-roboto-slab-fonts: 9.2
google-noto-emoji-fonts: 22.3
gnuplot: 5.5
gpm: fail
google-api-python-client: 2.133.0
graphite2: fail
gsettings-desktop-schemas: 46.0
gphoto2: 2.5.28
gperftools: 2.15
google-guice: 7.0.0
gspell: fail
gssdp: 1.6.3
gperf: 2.15
graphviz: fail
google-crosextra-caladea-fonts: 4.3
gptfdisk: 1.0.4
gstreamer1-plugins-base: fail
gtk-doc: fail
grub2: 2022.10.30
grubby: fail
graphene: 3.3.0
gssntlmssp: 0.8.0
gpsbabel: 1.9.0
gtest: fail
groff: fail
grpc: 1.64.2
gsm: 24.2.1
gstreamer1: 1.10.4
grep: 0.23.0
GSL: 4.0.0
gtk-update-icon-cache: 3.24.3
gtk2: 3.0.15.8
gsl: 4.0.0
guava20: 20.0
hawtjni-runtime: fail
hardening-check: 0.6.6
gupnp: 1.6.6
gtkspell: 3.0.5
httpcomponents-core: fail
gupnp-dlna: fail
guile: fail
h5py: 3.11.0
gupnp-igd: 1.6.0
guava: 33.2.1
gtk3: 5.3
hamcrest: 2.0.1
